entry_time,exit_time,direction,entry_price,exit_price,pnl_pips,cost_pips,net_pnl_pips,pnl_usd,equity_after,exit_reason
2025-02-26 06:30:00,2025-02-26 09:30:00,long,1.05058,1.04879,-17.900000000001803,0.7,-18.600000000001803,-18.600000000001803,9981.399999999998,signal
2025-02-28 00:30:00,2025-02-28 03:00:00,short,1.03952,1.04049,-9.699999999999154,0.7,-10.399999999999153,-10.399999999999153,9970.999999999998,signal
2025-02-28 08:30:00,2025-03-02 13:30:00,short,1.03963,1.04032,-6.899999999998574,0.7,-7.599999999998574,-7.599999999998574,9963.4,signal
2025-03-06 19:30:00,2025-03-07 11:00:00,long,1.07992,1.08324,33.199999999999896,0.7,32.49999999999989,32.49999999999989,9995.9,signal
2025-03-07 13:00:00,2025-03-07 14:30:00,long,1.08456,1.08357,-9.900000000000464,0.7,-10.600000000000463,-10.600000000000463,9985.3,signal
2025-03-09 13:00:00,2025-03-09 20:30:00,long,1.08486,1.08369,-11.699999999998933,0.7,-12.399999999998933,-12.399999999998933,9972.9,signal
2025-03-10 03:30:00,2025-03-10 07:30:00,long,1.08511,1.08351,-16.00000000000046,0.7,-16.700000000000458,-16.700000000000458,9956.199999999999,signal
2025-03-10 17:00:00,2025-03-10 23:30:00,long,1.0842,1.08384,-3.60000000000138,0.7,-4.30000000000138,-4.30000000000138,9951.899999999998,signal
2025-03-11 00:00:00,2025-03-11 19:30:00,long,1.08616,1.09064,44.800000000000395,0.7,44.10000000000039,44.10000000000039,9995.999999999998,signal
2025-03-12 02:00:00,2025-03-12 05:30:00,long,1.09092,1.09007,-8.499999999997954,0.7,-9.199999999997953,-9.199999999997953,9986.800000000001,signal
2025-03-12 08:30:00,2025-03-12 12:00:00,long,1.09128,1.08967,-16.100000000001113,0.7,-16.800000000001113,-16.800000000001113,9970.0,signal
2025-03-13 23:30:00,2025-03-14 00:00:00,long,1.08506,1.08372,-13.399999999998968,0.7,-14.099999999998968,-14.099999999998968,9955.900000000001,signal
2025-03-14 02:00:00,2025-03-16 23:30:00,long,1.08549,1.08774,22.499999999998632,0.7,21.799999999998633,21.799999999998633,9977.7,signal
2025-03-17 02:30:00,2025-03-17 20:00:00,long,1.08836,1.09081,24.500000000000632,0.7,23.800000000000633,23.800000000000633,10001.500000000002,signal
2025-03-18 00:30:00,2025-03-18 06:00:00,long,1.09208,1.09148,-5.999999999999339,0.7,-6.699999999999339,-6.699999999999339,9994.800000000003,signal
2025-03-18 10:00:00,2025-03-18 22:00:00,long,1.09341,1.09329,-1.1999999999989797,0.7,-1.8999999999989796,-1.8999999999989796,9992.900000000003,signal
2025-03-19 17:30:00,2025-03-19 19:30:00,long,1.09116,1.09057,-5.899999999998684,0.7,-6.599999999998684,-6.599999999998684,9986.300000000005,signal
2025-03-19 20:00:00,2025-03-19 22:30:00,long,1.09154,1.09033,-12.099999999999334,0.7,-12.799999999999333,-12.799999999999333,9973.500000000005,signal
2025-03-31 13:00:00,2025-03-31 13:30:00,long,1.08151,1.08141,-0.9999999999998899,0.7,-1.6999999999998898,-1.6999999999998898,9971.800000000005,signal
2025-03-31 14:00:00,2025-03-31 23:00:00,long,1.08167,1.08135,-3.1999999999987594,0.7,-3.8999999999987596,-3.8999999999987596,9967.900000000005,signal
2025-04-01 02:30:00,2025-04-01 04:00:00,long,1.08176,1.08055,-12.100000000001554,0.7,-12.800000000001553,-12.800000000001553,9955.100000000004,signal
2025-04-02 06:00:00,2025-04-02 15:00:00,long,1.08094,1.08152,5.800000000000249,0.7,5.100000000000249,5.100000000000249,9960.200000000004,signal
2025-04-02 16:30:00,2025-04-04 01:00:00,long,1.08388,1.10489,210.0999999999997,0.7,209.39999999999972,209.39999999999975,10169.600000000004,signal
2025-04-04 05:00:00,2025-04-04 07:30:00,long,1.10504,1.10062,-44.200000000000905,0.7,-44.90000000000091,-44.90000000000091,10124.700000000003,signal
2025-04-06 14:00:00,2025-04-07 03:00:00,long,1.0983,1.09595,-23.500000000000743,0.7,-24.200000000000742,-24.200000000000742,10100.500000000002,signal
2025-04-07 11:00:00,2025-04-07 13:30:00,long,1.09427,1.09153,-27.400000000001867,0.7,-28.100000000001867,-28.100000000001867,10072.4,signal
2025-04-07 18:30:00,2025-04-08 01:30:00,long,1.09397,1.09234,-16.300000000000203,0.7,-17.000000000000203,-17.000000000000203,10055.4,signal
2025-04-08 06:00:00,2025-04-08 08:00:00,long,1.09476,1.09049,-42.69999999999996,0.7,-43.39999999999996,-43.39999999999996,10012.0,signal
2025-04-08 11:00:00,2025-04-09 10:00:00,long,1.09422,1.10276,85.39999999999992,0.7,84.69999999999992,84.69999999999992,10096.7,signal
2025-04-09 18:30:00,2025-04-11 10:00:00,long,1.09861,1.12898,303.70000000000005,0.7,303.00000000000006,303.0000000000001,10399.7,signal
2025-04-11 13:00:00,2025-04-13 13:30:00,long,1.13347,1.13178,-16.899999999999693,0.7,-17.599999999999692,-17.599999999999692,10382.1,signal
2025-04-13 14:00:00,2025-04-14 06:00:00,long,1.13429,1.13542,11.300000000000754,0.7,10.600000000000755,10.600000000000755,10392.7,signal
2025-04-14 09:00:00,2025-04-14 10:00:00,long,1.13716,1.13565,-15.099999999999003,0.7,-15.799999999999002,-15.799999999999002,10376.900000000001,signal
2025-04-14 13:00:00,2025-04-14 14:00:00,long,1.13667,1.13494,-17.300000000000093,0.7,-18.000000000000092,-18.000000000000092,10358.900000000001,signal
2025-04-15 19:00:00,2025-04-16 18:30:00,long,1.13222,1.13676,45.399999999999885,0.7,44.69999999999988,44.69999999999988,10403.600000000002,signal
2025-04-17 08:00:00,2025-04-17 08:30:00,long,1.13777,1.13494,-28.29999999999888,0.7,-28.99999999999888,-28.99999999999888,10374.600000000004,signal
2025-04-17 12:30:00,2025-04-18 00:30:00,long,1.13732,1.13621,-11.100000000001664,0.7,-11.800000000001663,-11.800000000001663,10362.800000000003,signal
2025-04-18 02:30:00,2025-04-18 03:30:00,long,1.13713,1.13686,-2.6999999999999247,0.7,-3.399999999999925,-3.399999999999925,10359.400000000003,signal
2025-04-18 04:00:00,2025-04-21 08:30:00,long,1.13738,1.14975,123.69999999999992,0.7,122.99999999999991,122.99999999999991,10482.400000000003,signal
2025-04-21 10:00:00,2025-04-21 11:00:00,long,1.15084,1.14972,-11.200000000000099,0.7,-11.900000000000098,-11.900000000000098,10470.500000000004,signal
2025-04-21 12:00:00,2025-04-21 15:30:00,long,1.1517,1.15072,-9.799999999999809,0.7,-10.499999999999808,-10.499999999999808,10460.000000000004,signal
